age,job,marital,education,default,balance,housing,loan,uid1
44,services,married,secondary,no,522,no,yes,11726
43,services,single,secondary,no,0,yes,no,38028
59,retired,married,secondary,no,2011,no,no,27039
46,management,married,secondary,no,1306,yes,no,24395
35,services,married,secondary,no,341,yes,no,37682
33,management,married,tertiary,no,4728,no,no,21176
49,technician,married,secondary,no,3410,no,no,18874
51,management,divorced,tertiary,no,119,no,no,8988
38,services,married,primary,no,0,no,no,17167
45,technician,married,tertiary,no,43,yes,no,9574
45,technician,married,secondary,no,1629,no,no,21346
27,admin.,married,secondary,no,1475,yes,no,6173
39,blue-collar,married,primary,no,1387,no,no,10029
35,services,married,secondary,no,871,yes,no,12455
57,services,married,secondary,no,504,no,no,19900
37,blue-collar,married,secondary,no,3173,yes,no,37276
32,management,married,tertiary,no,2667,yes,no,43207
38,management,divorced,tertiary,no,554,no,no,27272
30,management,married,secondary,no,-559,yes,yes,35162
32,technician,single,tertiary,no,1038,no,no,21019
30,blue-collar,married,primary,no,124,yes,no,3409
50,services,married,secondary,no,1687,no,no,21756
37,self-employed,married,secondary,no,3396,no,no,21285
30,technician,married,secondary,no,574,no,no,20919
30,management,single,tertiary,no,1636,no,no,9498
41,blue-collar,married,secondary,no,4910,yes,no,31592
65,retired,married,tertiary,no,2416,no,no,31104
26,blue-collar,single,secondary,no,-29,yes,no,13732
49,blue-collar,married,primary,no,397,no,no,22608
60,technician,married,secondary,no,294,no,no,39955
69,retired,married,unknown,no,426,no,no,43249
43,technician,married,secondary,no,0,yes,no,14130
45,self-employed,married,secondary,no,629,no,no,18947
32,management,married,tertiary,no,972,no,no,21035
59,retired,married,tertiary,no,538,no,no,25042
36,blue-collar,married,secondary,no,-557,yes,yes,28264
36,services,single,secondary,no,1482,yes,no,25185
19,student,single,unknown,no,108,no,no,43259
60,blue-collar,married,secondary,no,40,no,no,9109
50,technician,married,tertiary,no,3337,yes,yes,18251
31,technician,single,tertiary,no,221,yes,no,4184
44,admin.,single,secondary,no,89,yes,yes,35869
42,blue-collar,married,primary,no,1156,yes,no,33104
38,technician,married,primary,no,-1038,no,yes,16343
31,technician,single,tertiary,no,1625,no,no,29200
26,student,single,tertiary,no,294,no,no,42411
30,management,single,tertiary,no,3384,no,no,40103
55,management,married,tertiary,no,0,no,no,19304
46,technician,married,secondary,no,1029,yes,no,2804
34,technician,married,tertiary,no,7050,no,no,40729
30,management,single,tertiary,no,697,no,no,43571
40,admin.,married,secondary,no,1313,yes,no,34346
45,management,married,secondary,no,315,yes,no,18955
35,blue-collar,married,secondary,no,1287,yes,no,37981
50,blue-collar,married,primary,no,604,no,no,19133
45,management,divorced,secondary,no,0,yes,no,34870
46,technician,divorced,secondary,no,0,no,no,21167
59,management,married,tertiary,no,2260,yes,no,37708
48,services,married,secondary,no,2409,yes,no,16834
47,housemaid,married,tertiary,no,333,no,no,27651
68,retired,married,secondary,no,1316,no,no,31250
41,admin.,married,primary,no,611,no,yes,24718
56,blue-collar,married,secondary,no,1119,yes,no,21099
41,unemployed,single,tertiary,no,7968,no,no,44665
32,management,married,secondary,no,350,yes,no,6578
75,retired,married,tertiary,no,6027,no,no,42326
31,management,single,tertiary,no,9629,no,no,40466
60,unknown,married,tertiary,no,2450,no,no,13668
46,services,divorced,secondary,no,2268,yes,no,37466
51,management,divorced,tertiary,no,93,yes,yes,34908
35,admin.,married,tertiary,no,0,yes,no,17449
47,blue-collar,married,secondary,no,1110,yes,no,16494
46,blue-collar,married,secondary,no,1733,yes,no,2888
30,admin.,married,secondary,no,222,no,no,44181
39,management,single,secondary,no,247,yes,no,4716
38,admin.,single,secondary,no,-211,no,yes,18481
49,technician,divorced,secondary,no,30,no,yes,14531
40,blue-collar,divorced,unknown,no,0,no,yes,12305
52,management,married,tertiary,no,1227,no,no,22336
43,blue-collar,married,secondary,no,-755,yes,yes,34620
34,management,single,tertiary,no,872,yes,no,32480
29,services,single,secondary,no,0,no,no,44054
27,student,single,tertiary,no,5741,no,no,41230
45,technician,married,secondary,no,3583,yes,no,3313
64,retired,divorced,secondary,no,4833,no,no,43523
45,blue-collar,married,secondary,no,2718,yes,no,16722
52,housemaid,married,primary,no,310,no,yes,10432
47,management,married,tertiary,no,2306,no,no,44475
33,admin.,married,secondary,no,-167,yes,no,5906
54,housemaid,married,primary,no,311,yes,no,14187
53,retired,married,secondary,no,665,yes,no,33768
40,entrepreneur,married,tertiary,no,3585,no,no,44793
31,blue-collar,married,secondary,no,492,yes,no,30630
40,management,married,tertiary,no,194,no,yes,23818
31,blue-collar,single,primary,no,2369,yes,yes,26755
63,blue-collar,married,secondary,no,641,no,no,43819
43,self-employed,divorced,secondary,no,347,no,no,26019
56,housemaid,divorced,primary,no,61,no,no,39869
43,admin.,married,secondary,no,1138,no,no,32377
26,technician,single,secondary,no,75,yes,no,6520
43,entrepreneur,single,primary,no,2124,yes,no,25502
37,technician,married,secondary,yes,-886,yes,no,5662
26,student,single,unknown,no,2503,no,no,34105
50,self-employed,single,tertiary,no,21,yes,no,25121
43,services,single,secondary,no,620,no,yes,28395
49,technician,married,secondary,no,3144,no,no,18429
69,retired,married,tertiary,no,473,no,no,33448
76,self-employed,married,unknown,no,4984,no,no,43570
32,entrepreneur,single,tertiary,no,-34,yes,no,31322
33,admin.,single,secondary,no,5,yes,no,38654
34,self-employed,single,tertiary,no,72,yes,no,8116
39,services,married,secondary,no,2040,yes,no,36490
35,self-employed,married,tertiary,no,1340,no,yes,25598
55,retired,married,primary,no,150,no,no,13054
32,blue-collar,married,secondary,no,-32,yes,no,36579
31,technician,single,secondary,no,1170,yes,no,8278
29,technician,single,tertiary,no,218,yes,no,43440
53,technician,married,tertiary,no,2557,no,no,44326
39,admin.,married,tertiary,no,1322,yes,no,44883
35,management,single,tertiary,no,-108,yes,no,23689
39,technician,married,secondary,no,116,no,no,41254
36,management,married,tertiary,no,9324,yes,no,31450
32,self-employed,married,secondary,no,413,yes,no,14143
53,housemaid,divorced,secondary,no,120,no,no,11047
35,services,single,secondary,no,417,yes,no,14374
36,blue-collar,married,primary,no,946,yes,no,11338
39,services,married,secondary,no,323,no,no,43899
52,blue-collar,married,secondary,no,691,yes,no,7314
53,management,divorced,primary,no,443,no,no,9786
39,unemployed,married,secondary,no,270,yes,no,8476
54,self-employed,married,tertiary,no,0,yes,no,22031
39,management,married,tertiary,no,272,yes,no,31877
36,management,married,tertiary,no,0,yes,no,30399
52,admin.,married,secondary,no,299,no,no,25496
56,self-employed,married,secondary,no,784,no,yes,18023
34,unemployed,single,secondary,no,9,yes,no,2913
29,blue-collar,married,secondary,no,43,yes,no,674
40,management,married,tertiary,no,30,yes,no,17435
47,blue-collar,divorced,secondary,yes,-535,yes,no,17971
40,technician,married,secondary,no,77,no,no,417
30,entrepreneur,married,tertiary,no,-130,yes,yes,12587
40,admin.,single,secondary,no,1200,yes,no,27494
23,admin.,married,secondary,no,299,yes,no,11612
49,services,married,primary,no,468,no,no,19180
37,admin.,single,secondary,no,-296,yes,no,33412
44,management,married,tertiary,no,0,no,yes,21510
30,management,married,tertiary,no,0,no,no,21123
58,admin.,married,unknown,no,4318,no,no,9139
43,management,single,tertiary,no,359,yes,no,36961
34,technician,married,secondary,no,0,yes,no,23982
36,self-employed,single,tertiary,no,3560,no,no,25285
30,technician,married,secondary,no,394,no,no,22612
38,entrepreneur,single,secondary,no,2543,no,no,45176
48,technician,married,secondary,no,-38,yes,no,37509
43,management,married,unknown,no,5172,yes,no,7145
54,blue-collar,single,unknown,no,1555,yes,no,28737
52,admin.,married,primary,no,2281,yes,yes,29753
57,unknown,married,primary,no,1884,no,no,44018
40,blue-collar,married,primary,no,-48,yes,no,36654
29,technician,single,secondary,no,1856,yes,yes,38952
31,technician,single,tertiary,no,319,no,yes,19664
35,services,single,secondary,no,5551,yes,no,26280
30,self-employed,single,tertiary,no,2593,no,no,6521
29,management,married,tertiary,no,1366,yes,no,28555
52,housemaid,married,secondary,no,1182,yes,no,25101
37,management,married,tertiary,no,0,no,no,44215
36,unemployed,divorced,secondary,no,5,yes,no,28740
