age,job,marital,education,default,balance,housing,loan,uid1
58,management,married,tertiary,no,2143,yes,no,1
43,technician,single,secondary,no,593,yes,no,10
46,management,married,tertiary,no,229,yes,no,100
33,technician,single,secondary,no,56,no,no,1000
42,technician,married,secondary,no,8036,no,no,10000
38,admin.,married,primary,no,1487,no,no,10001
39,blue-collar,married,secondary,no,138,no,no,10002
35,services,married,secondary,no,-489,yes,no,10003
38,admin.,married,secondary,no,272,yes,yes,10004
40,management,married,secondary,no,-63,no,no,10005
58,retired,divorced,primary,no,593,no,yes,10006
25,admin.,single,secondary,no,66,yes,no,10007
35,unemployed,married,primary,no,859,no,no,10009
39,blue-collar,single,primary,no,2,yes,no,10010
41,management,single,tertiary,no,1113,yes,yes,10011
57,housemaid,married,secondary,no,992,no,no,10012
35,blue-collar,married,secondary,no,3015,yes,no,10013
32,student,single,unknown,no,2313,yes,no,10014
54,retired,single,primary,no,767,no,no,10015
39,services,married,secondary,no,1367,yes,no,10017
61,retired,married,secondary,no,173,no,no,10018
59,management,married,tertiary,no,2020,no,yes,10019
50,technician,married,secondary,no,73,no,no,1002
46,blue-collar,married,primary,no,10333,yes,no,10022
48,entrepreneur,married,unknown,no,3233,no,no,10025
45,housemaid,married,secondary,no,513,no,no,10028
39,blue-collar,married,primary,no,1387,no,no,10029
30,blue-collar,single,primary,no,660,yes,no,1003
44,self-employed,married,tertiary,no,3295,no,no,10030
38,blue-collar,divorced,secondary,no,157,no,no,10031
38,services,single,secondary,no,1076,no,no,10032
41,management,married,tertiary,no,36,no,no,10033
49,blue-collar,married,secondary,no,59,yes,no,10035
38,blue-collar,married,secondary,no,1116,no,no,10036
35,services,married,secondary,no,0,no,no,10037
39,management,married,primary,no,0,no,no,10038
39,blue-collar,single,secondary,no,16917,no,no,10039
44,services,married,primary,no,-79,yes,no,1004
54,retired,married,secondary,no,1851,no,no,10040
59,admin.,married,unknown,no,0,no,no,10041
35,blue-collar,single,secondary,no,406,yes,no,10042
28,admin.,single,secondary,no,267,yes,no,10043
49,blue-collar,married,secondary,no,55,no,no,10044
47,retired,married,primary,no,1464,no,no,10045
38,self-employed,single,secondary,no,4056,no,no,10046
43,technician,divorced,secondary,no,-191,no,no,10047
47,technician,divorced,secondary,no,450,no,no,10048
57,self-employed,married,unknown,no,964,no,no,10049
44,blue-collar,divorced,secondary,no,558,yes,no,1005
42,entrepreneur,married,tertiary,no,5345,no,no,10050
41,services,married,secondary,no,0,yes,no,10051
39,blue-collar,single,secondary,no,653,no,no,10052
37,management,married,tertiary,no,1393,no,yes,10053
41,admin.,single,secondary,no,812,no,yes,10054
38,admin.,single,secondary,no,4023,no,no,10055
37,management,single,secondary,no,235,no,no,10056
55,admin.,married,secondary,no,994,no,no,10057
36,blue-collar,married,primary,no,409,yes,no,10058
47,blue-collar,married,primary,no,4157,no,no,10059
30,services,single,secondary,no,342,yes,no,1006
48,services,married,secondary,no,11516,no,no,10060
48,entrepreneur,married,secondary,no,568,no,no,10061
45,blue-collar,married,primary,no,13117,no,no,10062
44,management,married,tertiary,no,13893,no,no,10063
42,admin.,married,secondary,no,105,no,no,10064
36,management,married,tertiary,no,1604,yes,no,10066
48,technician,married,secondary,no,1637,yes,no,10069
40,blue-collar,married,unknown,no,-4,yes,no,1007
53,retired,single,secondary,no,1846,no,no,10070
39,management,married,tertiary,no,-190,no,yes,10071
54,technician,married,secondary,no,2500,no,no,10072
50,blue-collar,married,primary,no,811,no,no,10073
49,blue-collar,married,primary,no,238,no,no,10074
59,retired,married,primary,no,1930,no,no,10075
60,services,divorced,secondary,no,47,no,no,10076
43,housemaid,divorced,primary,no,0,no,no,10077
53,self-employed,married,tertiary,no,1128,no,no,10078
36,technician,married,tertiary,no,4139,no,no,10079
59,entrepreneur,married,tertiary,no,712,yes,no,10080
27,technician,single,unknown,no,555,no,no,10081
38,blue-collar,divorced,secondary,no,2998,yes,no,10082
40,admin.,divorced,secondary,no,1967,yes,no,10084
60,blue-collar,married,primary,no,3230,no,no,10085
45,technician,married,secondary,no,3007,no,no,10086
36,blue-collar,single,secondary,no,161,yes,no,10087
59,management,married,tertiary,no,1574,no,no,10088
35,blue-collar,married,primary,no,234,no,no,10089
34,blue-collar,married,primary,no,267,yes,no,1009
44,blue-collar,married,primary,no,0,no,no,10090
45,entrepreneur,divorced,tertiary,no,1273,yes,yes,10091
38,blue-collar,married,primary,no,3057,yes,no,10092
37,management,married,primary,no,1959,no,no,10094
53,retired,divorced,secondary,no,-24,no,no,10095
44,housemaid,married,secondary,no,192,no,no,10096
57,housemaid,married,primary,no,625,no,yes,10098
51,retired,married,secondary,no,1435,no,no,10099
44,blue-collar,married,secondary,no,-674,yes,no,101
41,management,single,tertiary,no,8368,no,no,10100
45,blue-collar,married,unknown,no,2056,no,yes,10101
49,technician,single,tertiary,no,2585,no,no,10102
44,blue-collar,married,secondary,no,289,no,no,10103
38,housemaid,married,secondary,no,634,no,no,10104
53,admin.,single,secondary,no,-285,no,yes,10105
39,blue-collar,single,secondary,no,393,yes,no,10106
50,management,married,unknown,no,8345,no,no,10107
54,management,married,tertiary,no,16843,no,no,10108
52,retired,married,unknown,no,293,no,no,10110
58,admin.,married,primary,no,2232,no,no,10111
59,self-employed,married,secondary,no,1986,no,no,10112
51,admin.,single,unknown,no,196,no,no,10113
42,self-employed,divorced,tertiary,no,0,no,no,10114
39,blue-collar,married,secondary,no,7653,no,no,10116
49,services,divorced,secondary,no,725,no,no,10117
37,self-employed,married,secondary,no,883,no,no,10118
54,housemaid,married,unknown,no,4789,no,no,10119
51,blue-collar,married,unknown,no,1137,no,no,10120
42,housemaid,married,primary,yes,16,no,no,10121
37,services,divorced,secondary,no,532,yes,no,10123
37,admin.,married,unknown,no,463,yes,no,10124
45,management,married,tertiary,no,409,no,no,10125
51,housemaid,married,unknown,no,819,no,no,10126
36,self-employed,married,tertiary,no,2517,no,no,10127
43,management,married,tertiary,no,5523,no,no,10128
51,blue-collar,married,primary,no,7080,no,no,10129
42,technician,married,unknown,no,0,no,no,10130
42,blue-collar,married,secondary,no,103,no,no,10131
38,blue-collar,married,secondary,no,361,yes,no,10132
60,retired,married,primary,no,6307,yes,no,10133
57,housemaid,divorced,primary,no,395,no,no,10135
59,retired,single,secondary,no,1150,no,no,10136
57,services,divorced,primary,no,362,no,no,10137
54,management,married,tertiary,no,69,no,no,10143
52,blue-collar,married,primary,no,1884,no,no,10144
39,services,divorced,secondary,no,2,yes,yes,10145
46,services,married,secondary,no,379,no,no,10146
59,retired,married,unknown,no,1033,no,no,10148
40,admin.,divorced,secondary,no,6,no,no,10149
52,services,divorced,secondary,no,220,yes,no,1015
58,housemaid,married,secondary,no,4840,no,no,10150
35,services,married,secondary,no,2135,no,no,10151
37,blue-collar,single,primary,no,914,no,no,10152
56,unknown,divorced,primary,no,558,no,no,10153
52,housemaid,married,primary,no,3283,no,no,10154
56,blue-collar,married,secondary,no,1210,no,no,10155
53,technician,married,tertiary,no,431,yes,no,10156
45,unknown,married,primary,no,44,no,no,10157
49,management,married,tertiary,no,64,no,no,10158
41,housemaid,single,primary,no,1179,yes,no,10159
34,blue-collar,married,secondary,no,2308,yes,no,1016
47,blue-collar,married,secondary,no,303,no,no,10160
50,blue-collar,married,tertiary,no,676,no,no,10161
43,admin.,divorced,secondary,no,57,no,no,10162
40,unemployed,divorced,secondary,no,0,no,no,10163
35,blue-collar,divorced,unknown,no,164,no,no,10165
36,management,single,tertiary,no,0,no,no,10166
38,services,married,secondary,no,433,no,no,10167
45,management,married,tertiary,no,1866,no,no,10168
58,unknown,married,unknown,no,0,no,no,10169
37,blue-collar,divorced,primary,no,139,yes,no,1017
38,blue-collar,married,secondary,yes,-10,no,no,10170
44,blue-collar,married,secondary,no,594,no,no,10172
58,technician,married,primary,no,139,no,no,10173
51,technician,married,secondary,no,13089,no,no,10174
40,blue-collar,single,primary,no,1780,no,yes,10175
50,blue-collar,married,unknown,no,0,no,no,10177
45,housemaid,divorced,primary,no,544,no,no,10178
