age,job,marital,education,default,balance,housing,loan,uid1
58,management,married,3.0,0,0.40027753,1,0,1
43,technician,single,2.0,0,0.0025459377,1,0,10
46,management,married,3.0,0,-0.041224327,1,0,100
33,technician,single,2.0,0,-0.32737526,0,0,1000
42,technician,married,2.0,0,0.44486216,0,0,10000
38,admin.,married,1.0,0,0.029012546,0,0,10001
39,blue-collar,married,2.0,0,-0.37100634,0,0,10002
35,services,married,2.0,0,-0.91675866,1,0,10003
38,admin.,married,2.0,0,-0.041224327,1,1,10004
40,management,married,2.0,0,-0.91675866,0,0,10005
58,retired,divorced,1.0,0,0.0025459377,0,1,10006
25,admin.,single,2.0,0,-0.32737526,1,0,10007
35,unemployed,married,1.0,0,0.0025459377,0,0,10009
39,blue-collar,single,1.0,0,-0.36882576,1,0,10010
41,management,single,3.0,0,0.04220873,1,1,10011
57,housemaid,married,2.0,0,0.35559145,0,0,10012
35,blue-collar,married,2.0,0,0.19789287,1,0,10013
32,student,single,2.0,0,0.40027753,1,0,10014
54,retired,single,1.0,0,0.0025459377,0,0,10015
39,services,married,2.0,0,0.029012546,1,0,10017
61,retired,married,2.0,0,-0.63594294,0,0,10018
59,management,married,3.0,0,0.40027753,0,1,10019
50,technician,married,2.0,0,-0.32737526,0,0,1002
46,blue-collar,married,1.0,0,0.44486216,1,0,10022
48,entrepreneur,married,2.0,0,0.632573,0,0,10025
45,housemaid,married,2.0,0,0.0025459377,0,0,10028
39,blue-collar,married,1.0,0,0.029012546,0,0,10029
30,blue-collar,single,1.0,0,0.0025459377,1,0,1003
44,self-employed,married,3.0,0,0.632573,0,0,10030
38,blue-collar,divorced,2.0,0,-0.009587242,0,0,10031
38,services,single,2.0,0,0.04220873,0,0,10032
41,management,married,3.0,0,-0.32737526,0,0,10033
49,blue-collar,married,2.0,0,-0.32737526,1,0,10035
38,blue-collar,married,2.0,0,0.04220873,0,0,10036
35,services,married,2.0,0,-0.36882576,0,0,10037
39,management,married,1.0,0,-0.36882576,0,0,10038
39,blue-collar,single,2.0,0,-0.057865087,0,0,10039
44,services,married,1.0,0,-0.91675866,1,0,1004
54,retired,married,2.0,0,0.40027753,0,0,10040
59,admin.,married,2.0,0,-0.36882576,0,0,10041
35,blue-collar,single,2.0,0,-0.1227066,1,0,10042
28,admin.,single,2.0,0,-0.041224327,1,0,10043
49,blue-collar,married,2.0,0,-0.32737526,0,0,10044
47,retired,married,1.0,0,0.029012546,0,0,10045
38,self-employed,single,2.0,0,0.42490923,0,0,10046
43,technician,divorced,2.0,0,-0.91675866,0,0,10047
47,technician,divorced,2.0,0,-0.1227066,0,0,10048
57,self-employed,married,2.0,0,0.35559145,0,0,10049
44,blue-collar,divorced,2.0,0,0.0025459377,1,0,1005
42,entrepreneur,married,3.0,0,0.42490923,0,0,10050
41,services,married,2.0,0,-0.36882576,1,0,10051
39,blue-collar,single,2.0,0,0.0025459377,0,0,10052
37,management,married,3.0,0,0.029012546,0,1,10053
41,admin.,single,2.0,0,0.0025459377,0,1,10054
38,admin.,single,2.0,0,0.42490923,0,0,10055
37,management,single,2.0,0,-0.041224327,0,0,10056
55,admin.,married,2.0,0,0.35559145,0,0,10057
36,blue-collar,married,1.0,0,-0.1227066,1,0,10058
47,blue-collar,married,1.0,0,0.42490923,0,0,10059
30,services,single,2.0,0,0.071115434,1,0,1006
48,services,married,2.0,0,0.44486216,0,0,10060
48,entrepreneur,married,2.0,0,0.0025459377,0,0,10061
45,blue-collar,married,1.0,0,0.44486216,0,0,10062
44,management,married,3.0,0,-0.057865087,0,0,10063
42,admin.,married,2.0,0,-0.32737526,0,0,10064
36,management,married,3.0,0,0.40027753,1,0,10066
48,technician,married,2.0,0,0.40027753,1,0,10069
40,blue-collar,married,2.0,0,-0.36882576,1,0,1007
53,retired,single,2.0,0,0.40027753,0,0,10070
39,management,married,3.0,0,-0.91675866,0,1,10071
54,technician,married,2.0,0,0.40027753,0,0,10072
50,blue-collar,married,1.0,0,0.0025459377,0,0,10073
49,blue-collar,married,1.0,0,-0.041224327,0,0,10074
59,retired,married,1.0,0,0.40027753,0,0,10075
60,services,divorced,2.0,0,-0.32737526,0,0,10076
43,housemaid,divorced,1.0,0,-0.36882576,0,0,10077
53,self-employed,married,3.0,0,0.04220873,0,0,10078
36,technician,married,3.0,0,0.42490923,0,0,10079
59,entrepreneur,married,3.0,0,0.0025459377,1,0,10080
27,technician,single,2.0,0,0.0025459377,0,0,10081
38,blue-collar,divorced,2.0,0,0.19789287,1,0,10082
40,admin.,divorced,2.0,0,0.40027753,1,0,10084
60,blue-collar,married,1.0,0,0.632573,0,0,10085
45,technician,married,2.0,0,0.19789287,0,0,10086
36,blue-collar,single,2.0,0,-0.009587242,1,0,10087
59,management,married,3.0,0,0.029012546,0,0,10088
35,blue-collar,married,1.0,0,-0.041224327,0,0,10089
34,blue-collar,married,1.0,0,-0.041224327,1,0,1009
44,blue-collar,married,1.0,0,-0.36882576,0,0,10090
45,entrepreneur,divorced,3.0,0,0.029012546,1,1,10091
38,blue-collar,married,1.0,0,0.19789287,1,0,10092
37,management,married,1.0,0,0.40027753,0,0,10094
53,retired,divorced,2.0,0,-0.36882576,0,0,10095
44,housemaid,married,2.0,0,-0.041224327,0,0,10096
57,housemaid,married,1.0,0,0.0025459377,0,1,10098
51,retired,married,2.0,0,0.029012546,0,0,10099
44,blue-collar,married,2.0,0,-0.91675866,1,0,101
41,management,single,3.0,0,0.44486216,0,0,10100
45,blue-collar,married,2.0,0,0.40027753,0,1,10101
49,technician,single,3.0,0,0.58409756,0,0,10102
44,blue-collar,married,2.0,0,-0.49297693,0,0,10103
38,housemaid,married,2.0,0,0.0025459377,0,0,10104
53,admin.,single,2.0,0,-0.91675866,0,1,10105
39,blue-collar,single,2.0,0,-0.1227066,1,0,10106
50,management,married,2.0,0,0.44486216,0,0,10107
54,management,married,3.0,0,-0.057865087,0,0,10108
52,retired,married,2.0,0,0.071115434,0,0,10110
58,admin.,married,1.0,0,0.40027753,0,0,10111
59,self-employed,married,2.0,0,0.40027753,0,0,10112
51,admin.,single,2.0,0,-0.041224327,0,0,10113
42,self-employed,divorced,3.0,0,-0.36882576,0,0,10114
39,blue-collar,married,2.0,0,0.44486216,0,0,10116
49,services,divorced,2.0,0,0.0025459377,0,0,10117
37,self-employed,married,2.0,0,0.0025459377,0,0,10118
54,housemaid,married,2.0,0,0.42490923,0,0,10119
51,blue-collar,married,2.0,0,0.04220873,0,0,10120
42,housemaid,married,1.0,1,-0.7283081,0,0,10121
37,services,divorced,2.0,0,0.0025459377,1,0,10123
37,admin.,married,2.0,0,-0.1227066,1,0,10124
45,management,married,3.0,0,-0.1227066,0,0,10125
51,housemaid,married,2.0,0,0.0025459377,0,0,10126
36,self-employed,married,3.0,0,0.40027753,0,0,10127
43,management,married,3.0,0,0.42490923,0,0,10128
51,blue-collar,married,1.0,0,0.44486216,0,0,10129
42,technician,married,2.0,0,-0.36882576,0,0,10130
42,blue-collar,married,2.0,0,-0.32737526,0,0,10131
38,blue-collar,married,2.0,0,0.071115434,1,0,10132
60,retired,married,1.0,0,0.050681595,1,0,10133
57,housemaid,divorced,1.0,0,-0.1227066,0,0,10135
59,retired,single,2.0,0,0.04220873,0,0,10136
57,services,divorced,1.0,0,0.071115434,0,0,10137
54,management,married,3.0,0,-0.32737526,0,0,10143
52,blue-collar,married,1.0,0,0.40027753,0,0,10144
39,services,divorced,2.0,0,-0.36882576,1,1,10145
46,services,married,2.0,0,0.071115434,0,0,10146
