contact,day,month,duration,campaign,pdays,previous,poutcome,y,uid2
unknown,5,5,261,1,-1,0,unknown,0,1
unknown,5,5,55,1,-1,0,unknown,0,10
unknown,5,5,197,1,-1,0,unknown,0,100
unknown,7,5,236,2,-1,0,unknown,0,1000
unknown,9,6,948,5,-1,0,unknown,0,10000
unknown,9,6,332,2,-1,0,unknown,0,10001
unknown,9,6,61,2,-1,0,unknown,0,10002
unknown,9,6,90,2,-1,0,unknown,0,10003
unknown,9,6,174,2,-1,0,unknown,0,10004
unknown,9,6,248,4,-1,0,unknown,0,10005
unknown,9,6,204,2,-1,0,unknown,0,10006
unknown,9,6,271,3,-1,0,unknown,0,10007
unknown,9,6,330,3,-1,0,unknown,0,10009
unknown,9,6,259,2,-1,0,unknown,0,10010
unknown,9,6,388,12,-1,0,unknown,0,10011
unknown,9,6,329,3,-1,0,unknown,0,10012
unknown,9,6,753,2,-1,0,unknown,0,10013
unknown,9,6,99,26,-1,0,unknown,0,10014
unknown,9,6,42,2,-1,0,unknown,0,10015
unknown,9,6,53,4,-1,0,unknown,0,10017
unknown,9,6,182,2,-1,0,unknown,0,10018
unknown,9,6,250,2,-1,0,unknown,0,10019
unknown,7,5,93,1,-1,0,unknown,0,1002
unknown,9,6,579,4,-1,0,unknown,0,10022
unknown,9,6,66,6,-1,0,unknown,0,10025
unknown,9,6,126,3,-1,0,unknown,0,10028
unknown,9,6,52,3,-1,0,unknown,0,10029
unknown,7,5,912,2,-1,0,unknown,0,1003
unknown,9,6,138,4,-1,0,unknown,0,10030
unknown,9,6,299,5,-1,0,unknown,0,10031
unknown,9,6,69,6,-1,0,unknown,0,10032
unknown,9,6,44,4,-1,0,unknown,0,10033
unknown,9,6,154,10,-1,0,unknown,0,10035
unknown,9,6,80,3,-1,0,unknown,0,10036
unknown,9,6,115,4,-1,0,unknown,0,10037
unknown,11,6,308,7,-1,0,unknown,0,10038
unknown,11,6,129,6,-1,0,unknown,0,10039
unknown,7,5,179,2,-1,0,unknown,0,1004
unknown,11,6,296,3,-1,0,unknown,0,10040
unknown,11,6,242,2,-1,0,unknown,0,10041
unknown,11,6,126,12,-1,0,unknown,0,10042
unknown,11,6,198,5,-1,0,unknown,0,10043
unknown,11,6,112,4,-1,0,unknown,0,10044
unknown,11,6,180,4,-1,0,unknown,0,10045
unknown,11,6,69,2,-1,0,unknown,0,10046
unknown,11,6,76,3,-1,0,unknown,0,10047
unknown,11,6,40,5,-1,0,unknown,0,10048
unknown,11,6,70,5,-1,0,unknown,0,10049
unknown,7,5,485,1,-1,0,unknown,0,1005
unknown,11,6,878,3,-1,0,unknown,1,10050
unknown,11,6,62,9,-1,0,unknown,0,10051
unknown,11,6,54,4,-1,0,unknown,0,10052
unknown,11,6,129,3,-1,0,unknown,0,10053
unknown,11,6,583,4,-1,0,unknown,1,10054
unknown,11,6,339,2,-1,0,unknown,0,10055
unknown,11,6,27,2,-1,0,unknown,0,10056
unknown,11,6,490,2,-1,0,unknown,0,10057
unknown,11,6,81,3,-1,0,unknown,0,10058
unknown,11,6,90,3,-1,0,unknown,0,10059
unknown,7,5,206,2,-1,0,unknown,0,1006
unknown,11,6,399,8,-1,0,unknown,0,10060
unknown,11,6,148,4,-1,0,unknown,0,10061
unknown,11,6,42,2,-1,0,unknown,0,10062
unknown,11,6,29,2,-1,0,unknown,0,10063
unknown,11,6,1159,4,-1,0,unknown,1,10064
unknown,11,6,47,3,-1,0,unknown,0,10066
unknown,11,6,305,10,-1,0,unknown,0,10069
unknown,7,5,311,1,-1,0,unknown,0,1007
unknown,11,6,95,1,-1,0,unknown,0,10070
unknown,11,6,893,8,-1,0,unknown,1,10071
unknown,11,6,62,2,-1,0,unknown,0,10072
unknown,11,6,103,3,-1,0,unknown,0,10073
unknown,11,6,204,1,-1,0,unknown,0,10074
unknown,11,6,453,1,-1,0,unknown,0,10075
unknown,11,6,360,1,-1,0,unknown,0,10076
unknown,11,6,643,1,-1,0,unknown,0,10077
unknown,11,6,29,1,-1,0,unknown,0,10078
unknown,11,6,175,4,-1,0,unknown,0,10079
unknown,11,6,109,1,-1,0,unknown,0,10080
unknown,11,6,240,9,-1,0,unknown,0,10081
unknown,11,6,91,1,-1,0,unknown,0,10082
unknown,11,6,363,1,-1,0,unknown,0,10084
unknown,11,6,281,4,-1,0,unknown,0,10085
unknown,11,6,442,1,-1,0,unknown,0,10086
unknown,11,6,196,2,-1,0,unknown,0,10087
unknown,11,6,181,1,-1,0,unknown,0,10088
unknown,11,6,88,5,-1,0,unknown,0,10089
unknown,7,5,362,1,-1,0,unknown,0,1009
unknown,11,6,112,2,-1,0,unknown,0,10090
unknown,11,6,197,3,-1,0,unknown,0,10091
unknown,11,6,133,1,-1,0,unknown,0,10092
unknown,11,6,439,1,-1,0,unknown,0,10094
unknown,11,6,303,1,-1,0,unknown,0,10095
unknown,11,6,232,2,-1,0,unknown,0,10096
unknown,11,6,867,1,-1,0,unknown,1,10098
unknown,11,6,587,1,-1,0,unknown,1,10099
unknown,5,5,257,1,-1,0,unknown,0,101
unknown,11,6,179,1,-1,0,unknown,0,10100
unknown,11,6,191,1,-1,0,unknown,0,10101
unknown,11,6,64,1,-1,0,unknown,0,10102
unknown,11,6,300,1,-1,0,unknown,0,10103
unknown,11,6,105,4,-1,0,unknown,0,10104
unknown,11,6,328,1,-1,0,unknown,0,10105
unknown,11,6,339,1,-1,0,unknown,0,10106
unknown,11,6,561,1,-1,0,unknown,0,10107
unknown,11,6,116,1,-1,0,unknown,0,10108
unknown,11,6,706,1,-1,0,unknown,1,10110
unknown,11,6,219,1,-1,0,unknown,0,10111
unknown,11,6,139,1,-1,0,unknown,0,10112
