uid2,predict
36943,0.5488107
27301,0.20875156
30061,0.24549836
38041,0.24549836
3328,0.20875156
1319,0.20875156
44080,0.32276765
19671,0.20875156
15671,0.20875156
43738,0.43309024
34142,0.24549836
4740,0.20875156
17697,0.49668834
28540,0.34972963
42453,0.43309024
22419,0.20875156
14732,0.20875156
26529,0.20875156
10533,0.20875156
29207,0.24549836
14847,0.20875156
24165,0.20875156
44377,0.43309024
13026,0.20875156
33794,0.24549836
33893,0.24549836
7980,0.20875156
3800,0.20875156
32339,0.34972963
16652,0.20875156
44205,0.5488107
15638,0.20875156
44307,0.43309024
8850,0.20875156
1318,0.20875156
12241,0.20875156
26769,0.49668834
22688,0.49668834
26585,0.20875156
26676,0.20875156
2804,0.20875156
26693,0.20875156
33833,0.24549836
35254,0.24549836
30017,0.24549836
34889,0.24549836
43009,0.43309024
1051,0.20875156
9125,0.20875156
41408,0.43309024
18840,0.20875156
33937,0.24549836
34647,0.24549836
40787,0.32276765
39676,0.24549836
16630,0.20875156
33796,0.24549836
8621,0.20875156
2311,0.20875156
40666,0.24549836
28010,0.24549836
18131,0.20875156
18849,0.34972963
25154,0.20875156
14809,0.20875156
32162,0.49668834
39965,0.24549836
22493,0.20875156
11281,0.20875156
35265,0.49668834
28387,0.24549836
29333,0.24549836
1257,0.20875156
24636,0.20875156
39480,0.24549836
28640,0.24549836
41387,0.32276765
44775,0.32276765
15133,0.20875156
1453,0.20875156
6597,0.20875156
37736,0.24549836
11487,0.34972963
21745,0.20875156
35541,0.24549836
13678,0.20875156
17350,0.20875156
43725,0.32276765
13538,0.20875156
23455,0.20875156
23842,0.20875156
36809,0.24549836
4605,0.20875156
44405,0.43309024
41120,0.32276765
1417,0.49668834
29671,0.34972963
21302,0.20875156
13823,0.20875156
19212,0.20875156
39497,0.24549836
37814,0.24549836
4700,0.49668834
29980,0.49668834
8762,0.20875156
5694,0.20875156
15704,0.49668834
36094,0.24549836
7781,0.20875156
30206,0.24549836
19947,0.20875156
15094,0.49668834
2566,0.20875156
23167,0.20875156
17371,0.34972963
8091,0.20875156
19318,0.49668834
18119,0.20875156
32095,0.24549836
17698,0.20875156
27118,0.20875156
32818,0.49668834
33730,0.24549836
13257,0.20875156
26350,0.20875156
3718,0.20875156
20815,0.34972963
18047,0.49668834
38708,0.24549836
10433,0.20875156
18369,0.20875156
9648,0.20875156
12421,0.20875156
1602,0.20875156
1861,0.49668834
19603,0.20875156
7947,0.20875156
