contact,day,month,duration,campaign,pdays,previous,poutcome,y,uid2
unknown,5,5,0.3855974,1,-1,0,unknown,0,1
unknown,5,5,-5.0011497,1,-1,0,unknown,0,10
unknown,5,5,-0.8609253,1,-1,0,unknown,0,100
unknown,7,5,-0.09069146,2,-1,0,unknown,0,1000
unknown,9,6,2.4156203,5,-1,0,unknown,0,10000
unknown,9,6,0.21474174,2,-1,0,unknown,0,10001
unknown,9,6,-5.0011497,2,-1,0,unknown,0,10002
unknown,9,6,-1.8034724,2,-1,0,unknown,0,10003
unknown,9,6,-0.4389125,2,-1,0,unknown,0,10004
unknown,9,6,-0.09069146,4,-1,0,unknown,0,10005
unknown,9,6,-0.09069146,2,-1,0,unknown,0,10006
unknown,9,6,0.3855974,3,-1,0,unknown,0,10007
unknown,9,6,0.21474174,3,-1,0,unknown,0,10009
unknown,9,6,-0.09069146,2,-1,0,unknown,0,10010
unknown,9,6,0.39736426,12,-1,0,unknown,0,10011
unknown,9,6,0.21474174,3,-1,0,unknown,0,10012
unknown,9,6,1.7309884,2,-1,0,unknown,0,10013
unknown,9,6,-1.864814,26,-1,0,unknown,0,10014
unknown,9,6,-5.272784,2,-1,0,unknown,0,10015
unknown,9,6,-5.0011497,4,-1,0,unknown,0,10017
unknown,9,6,-0.4389125,2,-1,0,unknown,0,10018
unknown,9,6,-0.09069146,2,-1,0,unknown,0,10019
unknown,7,5,-1.8034724,1,-1,0,unknown,0,1002
unknown,9,6,1.1558545,4,-1,0,unknown,0,10022
unknown,9,6,-2.6385002,6,-1,0,unknown,0,10025
unknown,9,6,-1.2818002,3,-1,0,unknown,0,10028
unknown,9,6,-5.0011497,3,-1,0,unknown,0,10029
unknown,7,5,2.4156203,2,-1,0,unknown,0,1003
unknown,9,6,-0.78261614,4,-1,0,unknown,0,10030
unknown,9,6,0.21474174,5,-1,0,unknown,0,10031
unknown,9,6,-2.6385002,6,-1,0,unknown,0,10032
unknown,9,6,-5.272784,4,-1,0,unknown,0,10033
unknown,9,6,-0.78261614,10,-1,0,unknown,0,10035
unknown,9,6,-1.8034724,3,-1,0,unknown,0,10036
unknown,9,6,-1.7106793,4,-1,0,unknown,0,10037
unknown,11,6,0.21474174,7,-1,0,unknown,0,10038
unknown,11,6,-0.78261614,6,-1,0,unknown,0,10039
unknown,7,5,-0.4389125,2,-1,0,unknown,0,1004
unknown,11,6,0.21474174,3,-1,0,unknown,0,10040
unknown,11,6,-0.09069146,2,-1,0,unknown,0,10041
unknown,11,6,-1.2818002,12,-1,0,unknown,0,10042
unknown,11,6,-0.8609253,5,-1,0,unknown,0,10043
unknown,11,6,-1.7106793,4,-1,0,unknown,0,10044
unknown,11,6,-0.4389125,4,-1,0,unknown,0,10045
unknown,11,6,-2.6385002,2,-1,0,unknown,0,10046
unknown,11,6,-2.6385002,3,-1,0,unknown,0,10047
unknown,11,6,-5.272784,5,-1,0,unknown,0,10048
unknown,11,6,-2.6385002,5,-1,0,unknown,0,10049
unknown,7,5,0.77576935,1,-1,0,unknown,0,1005
unknown,11,6,2.1139002,3,-1,0,unknown,1,10050
unknown,11,6,-5.0011497,9,-1,0,unknown,0,10051
unknown,11,6,-5.0011497,4,-1,0,unknown,0,10052
unknown,11,6,-0.78261614,3,-1,0,unknown,0,10053
unknown,11,6,1.1558545,4,-1,0,unknown,1,10054
unknown,11,6,0.21474174,2,-1,0,unknown,0,10055
unknown,11,6,-3.1816547,2,-1,0,unknown,0,10056
unknown,11,6,0.77576935,2,-1,0,unknown,0,10057
unknown,11,6,-1.8034724,3,-1,0,unknown,0,10058
unknown,11,6,-1.8034724,3,-1,0,unknown,0,10059
unknown,7,5,-0.09069146,2,-1,0,unknown,0,1006
unknown,11,6,0.39736426,8,-1,0,unknown,0,10060
unknown,11,6,-0.78261614,4,-1,0,unknown,0,10061
unknown,11,6,-5.272784,2,-1,0,unknown,0,10062
unknown,11,6,-3.1816547,2,-1,0,unknown,0,10063
unknown,11,6,2.4156203,4,-1,0,unknown,1,10064
unknown,11,6,-3.2021892,3,-1,0,unknown,0,10066
unknown,11,6,0.21474174,10,-1,0,unknown,0,10069
unknown,7,5,0.21474174,1,-1,0,unknown,0,1007
unknown,11,6,-1.0648295,1,-1,0,unknown,0,10070
unknown,11,6,2.1139002,8,-1,0,unknown,1,10071
unknown,11,6,-5.0011497,2,-1,0,unknown,0,10072
unknown,11,6,-1.864814,3,-1,0,unknown,0,10073
unknown,11,6,-0.09069146,1,-1,0,unknown,0,10074
unknown,11,6,0.77576935,1,-1,0,unknown,0,10075
unknown,11,6,0.21474174,1,-1,0,unknown,0,10076
unknown,11,6,1.4975171,1,-1,0,unknown,0,10077
unknown,11,6,-3.1816547,1,-1,0,unknown,0,10078
unknown,11,6,-0.4389125,4,-1,0,unknown,0,10079
unknown,11,6,-1.7106793,1,-1,0,unknown,0,10080
unknown,11,6,-0.09069146,9,-1,0,unknown,0,10081
unknown,11,6,-1.8034724,1,-1,0,unknown,0,10082
unknown,11,6,0.21474174,1,-1,0,unknown,0,10084
unknown,11,6,-0.15398479,4,-1,0,unknown,0,10085
unknown,11,6,0.77576935,1,-1,0,unknown,0,10086
unknown,11,6,-0.016975272,2,-1,0,unknown,0,10087
unknown,11,6,-0.4389125,1,-1,0,unknown,0,10088
unknown,11,6,-1.8034724,5,-1,0,unknown,0,10089
unknown,7,5,0.21474174,1,-1,0,unknown,0,1009
unknown,11,6,-1.7106793,2,-1,0,unknown,0,10090
unknown,11,6,-0.8609253,3,-1,0,unknown,0,10091
unknown,11,6,-0.78261614,1,-1,0,unknown,0,10092
