2025-04-23 18:03:13.819 |  | INFO     | server:lifespan:17 - RuoYi-FastAPI开始启动
2025-04-23 18:03:13.819 |  | INFO     | config.get_db:init_create_table:23 - 初始化数据库连接...
2025-04-23 18:03:13.873 |  | INFO     | config.get_db:init_create_table:26 - 数据库连接成功
2025-04-23 18:03:13.874 |  | INFO     | config.get_redis:create_redis_pool:19 - 开始连接redis...
2025-04-23 18:03:13.878 |  | INFO     | config.get_redis:create_redis_pool:32 - redis连接成功
2025-04-23 18:03:13.878 |  | INFO     | server:lifespan:21 - RuoYi-FastAPI启动成功
2025-04-23 18:04:39.319 |  | INFO     | server:lifespan:17 - RuoYi-FastAPI开始启动
2025-04-23 18:04:39.320 |  | INFO     | config.get_db:init_create_table:23 - 初始化数据库连接...
2025-04-23 18:04:39.335 |  | INFO     | config.get_db:init_create_table:26 - 数据库连接成功
2025-04-23 18:04:39.335 |  | INFO     | config.get_redis:create_redis_pool:19 - 开始连接redis...
2025-04-23 18:04:39.340 |  | INFO     | config.get_redis:create_redis_pool:32 - redis连接成功
2025-04-23 18:04:39.341 |  | INFO     | server:lifespan:21 - RuoYi-FastAPI启动成功
2025-04-23 18:05:19.990 |  | INFO     | server:lifespan:17 - RuoYi-FastAPI开始启动
2025-04-23 18:05:19.991 |  | INFO     | config.get_db:init_create_table:23 - 初始化数据库连接...
2025-04-23 18:05:20.016 |  | INFO     | config.get_db:init_create_table:26 - 数据库连接成功
2025-04-23 18:05:20.016 |  | INFO     | config.get_redis:create_redis_pool:19 - 开始连接redis...
2025-04-23 18:05:20.021 |  | INFO     | config.get_redis:create_redis_pool:32 - redis连接成功
2025-04-23 18:05:20.022 |  | INFO     | server:lifespan:21 - RuoYi-FastAPI启动成功
2025-04-23 18:05:53.446 |  | INFO     | server:lifespan:17 - RuoYi-FastAPI开始启动
2025-04-23 18:05:53.446 |  | INFO     | config.get_db:init_create_table:23 - 初始化数据库连接...
2025-04-23 18:05:53.458 |  | INFO     | config.get_db:init_create_table:26 - 数据库连接成功
2025-04-23 18:05:53.459 |  | INFO     | config.get_redis:create_redis_pool:19 - 开始连接redis...
2025-04-23 18:05:53.462 |  | INFO     | config.get_redis:create_redis_pool:32 - redis连接成功
2025-04-23 18:05:53.462 |  | INFO     | server:lifespan:21 - RuoYi-FastAPI启动成功
2025-04-23 18:06:12.338 |  | INFO     | server:lifespan:17 - RuoYi-FastAPI开始启动
2025-04-23 18:06:12.339 |  | INFO     | config.get_db:init_create_table:23 - 初始化数据库连接...
2025-04-23 18:06:12.353 |  | INFO     | config.get_db:init_create_table:26 - 数据库连接成功
2025-04-23 18:06:12.354 |  | INFO     | config.get_redis:create_redis_pool:19 - 开始连接redis...
2025-04-23 18:06:12.357 |  | INFO     | config.get_redis:create_redis_pool:32 - redis连接成功
2025-04-23 18:06:12.357 |  | INFO     | server:lifespan:21 - RuoYi-FastAPI启动成功
2025-04-23 18:08:00.144 | 4c655b6f6af5488fb262fb20feb06ed8 | INFO     | module_admin.controller.task_controller:execute_task_list:35 - 获取成功
2025-04-23 18:08:37.545 |  | INFO     | server:lifespan:17 - RuoYi-FastAPI开始启动
2025-04-23 18:08:37.546 |  | INFO     | config.get_db:init_create_table:23 - 初始化数据库连接...
2025-04-23 18:08:37.567 |  | INFO     | config.get_db:init_create_table:26 - 数据库连接成功
2025-04-23 18:08:37.567 |  | INFO     | config.get_redis:create_redis_pool:19 - 开始连接redis...
2025-04-23 18:08:37.570 |  | INFO     | config.get_redis:create_redis_pool:32 - redis连接成功
2025-04-23 18:08:37.571 |  | INFO     | server:lifespan:21 - RuoYi-FastAPI启动成功
2025-04-23 18:08:44.234 | 45dd8c9524b8406aaf98849a1ecbd2a2 | INFO     | module_admin.controller.task_controller:execute_task_list:35 - 获取成功
2025-04-23 18:08:58.205 |  | INFO     | server:lifespan:17 - RuoYi-FastAPI开始启动
2025-04-23 18:08:58.206 |  | INFO     | config.get_db:init_create_table:23 - 初始化数据库连接...
2025-04-23 18:08:58.218 |  | INFO     | config.get_db:init_create_table:26 - 数据库连接成功
2025-04-23 18:08:58.218 |  | INFO     | config.get_redis:create_redis_pool:19 - 开始连接redis...
2025-04-23 18:08:58.221 |  | INFO     | config.get_redis:create_redis_pool:32 - redis连接成功
2025-04-23 18:08:58.222 |  | INFO     | server:lifespan:21 - RuoYi-FastAPI启动成功
2025-04-23 18:11:18.581 |  | INFO     | server:lifespan:17 - RuoYi-FastAPI开始启动
2025-04-23 18:11:18.582 |  | INFO     | config.get_db:init_create_table:23 - 初始化数据库连接...
2025-04-23 18:11:18.588 |  | INFO     | config.get_db:init_create_table:26 - 数据库连接成功
2025-04-23 18:11:18.589 |  | INFO     | config.get_redis:create_redis_pool:19 - 开始连接redis...
2025-04-23 18:11:18.590 |  | INFO     | config.get_redis:create_redis_pool:32 - redis连接成功
2025-04-23 18:11:18.591 |  | INFO     | server:lifespan:21 - RuoYi-FastAPI启动成功
2025-04-23 18:11:25.638 | 5bd628c7d521450f95640655dd28b7a7 | INFO     | module_admin.controller.task_controller:execute_task_list:35 - 获取成功
2025-04-23 18:12:14.588 | 9065cbcc09b943979ce2c4b8c53bfbd9 | INFO     | module_admin.controller.task_controller:execute_task_list:35 - 获取成功
2025-04-23 18:13:05.773 |  | INFO     | server:lifespan:17 - RuoYi-FastAPI开始启动
2025-04-23 18:13:05.777 |  | INFO     | config.get_db:init_create_table:23 - 初始化数据库连接...
2025-04-23 18:13:05.810 |  | INFO     | config.get_db:init_create_table:26 - 数据库连接成功
2025-04-23 18:13:05.811 |  | INFO     | config.get_redis:create_redis_pool:19 - 开始连接redis...
2025-04-23 18:13:05.817 |  | INFO     | config.get_redis:create_redis_pool:32 - redis连接成功
2025-04-23 18:13:05.818 |  | INFO     | server:lifespan:21 - RuoYi-FastAPI启动成功
2025-04-23 18:13:14.887 | 9e90b18946a5436eaa5a1175890a9228 | INFO     | module_admin.controller.task_controller:execute_task_list:35 - 获取成功
2025-04-23 18:14:15.453 |  | INFO     | server:lifespan:17 - RuoYi-FastAPI开始启动
2025-04-23 18:14:15.454 |  | INFO     | config.get_db:init_create_table:23 - 初始化数据库连接...
2025-04-23 18:14:15.483 |  | INFO     | config.get_db:init_create_table:26 - 数据库连接成功
2025-04-23 18:14:15.484 |  | INFO     | config.get_redis:create_redis_pool:19 - 开始连接redis...
2025-04-23 18:14:15.493 |  | INFO     | config.get_redis:create_redis_pool:32 - redis连接成功
2025-04-23 18:14:15.493 |  | INFO     | server:lifespan:21 - RuoYi-FastAPI启动成功
2025-04-23 18:14:35.360 |  | INFO     | server:lifespan:17 - RuoYi-FastAPI开始启动
2025-04-23 18:14:35.360 |  | INFO     | config.get_db:init_create_table:23 - 初始化数据库连接...
2025-04-23 18:14:35.384 |  | INFO     | config.get_db:init_create_table:26 - 数据库连接成功
2025-04-23 18:14:35.385 |  | INFO     | config.get_redis:create_redis_pool:19 - 开始连接redis...
